context_short	context_group
Exc eQTL	Exc eQTL
Exc sQTL	Exc sQTL
Inh eQTL	Inh eQTL
Inh caQTL	Inh caQTL
Inh sQTL	Inh sQTL
Oli eQTL	Oli eQTL
Oli sQTL	Oli sQTL
OPC eQTL	OPC eQTL
OPC sQTL	OPC sQTL
Ast eQTL	Ast eQTL
Ast caQTL	Ast caQTL
Ast sQTL	Ast sQTL
Mic eQTL	Mic eQTL
Mic caQTL	Mic caQTL
End eQTL	Vascu eQTL
Peri eQTL	Vascu eQTL
bMac eQTL	Immune eQTL
bMono eQTL	Immune eQTL
bMic eQTL	Immune eQTL
bulk eQTL	bulk eQTL
bulk p-sQTL	bulk sQTL
bulk sQTL	bulk sQTL
bulk u-sQTL	bulk sQTL
bulk pQTL	bulk (g)pQTL
bulk gpQTL	bulk (g)pQTL
bulk haQTL	bulk epiQTL
bulk mQTL	bulk epiQTL
